image_id,content_id,image_url
1,1,http://dummyimage.com/172x101.png/dddddd/000000
2,2,http://dummyimage.com/143x131.png/cc0000/ffffff
3,3,http://dummyimage.com/229x145.png/5fa2dd/ffffff
4,4,http://dummyimage.com/230x192.png/cc0000/ffffff
5,5,http://dummyimage.com/157x214.png/5fa2dd/ffffff
6,6,http://dummyimage.com/168x130.png/ff4444/ffffff
7,7,http://dummyimage.com/226x247.png/ff4444/ffffff
8,8,http://dummyimage.com/244x128.png/dddddd/000000
9,9,http://dummyimage.com/152x246.png/dddddd/000000
10,10,http://dummyimage.com/217x190.png/ff4444/ffffff
11,11,http://dummyimage.com/179x189.png/5fa2dd/ffffff
12,12,http://dummyimage.com/215x100.png/5fa2dd/ffffff
13,13,http://dummyimage.com/226x114.png/5fa2dd/ffffff
14,14,http://dummyimage.com/212x135.png/5fa2dd/ffffff
15,15,http://dummyimage.com/165x149.png/cc0000/ffffff
16,16,http://dummyimage.com/181x243.png/5fa2dd/ffffff
17,17,http://dummyimage.com/132x191.png/ff4444/ffffff
18,18,http://dummyimage.com/180x100.png/cc0000/ffffff
19,19,http://dummyimage.com/190x122.png/dddddd/000000
20,20,http://dummyimage.com/167x197.png/ff4444/ffffff
21,21,http://dummyimage.com/188x162.png/cc0000/ffffff
22,22,http://dummyimage.com/121x238.png/dddddd/000000
23,23,http://dummyimage.com/127x183.png/5fa2dd/ffffff
24,24,http://dummyimage.com/211x161.png/cc0000/ffffff
25,25,http://dummyimage.com/161x137.png/cc0000/ffffff
26,26,http://dummyimage.com/101x142.png/cc0000/ffffff
27,27,http://dummyimage.com/161x116.png/dddddd/000000
28,28,http://dummyimage.com/112x216.png/dddddd/000000
29,29,http://dummyimage.com/117x236.png/dddddd/000000
30,30,http://dummyimage.com/182x209.png/cc0000/ffffff
31,31,http://dummyimage.com/208x202.png/cc0000/ffffff
32,32,http://dummyimage.com/210x246.png/5fa2dd/ffffff
33,33,http://dummyimage.com/233x173.png/ff4444/ffffff
34,34,http://dummyimage.com/183x179.png/ff4444/ffffff
35,35,http://dummyimage.com/167x164.png/cc0000/ffffff
36,36,http://dummyimage.com/128x250.png/dddddd/000000
37,37,http://dummyimage.com/174x175.png/dddddd/000000
38,38,http://dummyimage.com/158x133.png/ff4444/ffffff
39,39,http://dummyimage.com/146x208.png/5fa2dd/ffffff
40,40,http://dummyimage.com/234x233.png/5fa2dd/ffffff
41,41,http://dummyimage.com/127x248.png/5fa2dd/ffffff
42,42,http://dummyimage.com/155x137.png/5fa2dd/ffffff
43,43,http://dummyimage.com/175x135.png/5fa2dd/ffffff
44,44,http://dummyimage.com/112x118.png/ff4444/ffffff
45,45,http://dummyimage.com/114x175.png/5fa2dd/ffffff
46,46,http://dummyimage.com/228x212.png/5fa2dd/ffffff
47,47,http://dummyimage.com/182x246.png/ff4444/ffffff
48,48,http://dummyimage.com/159x172.png/cc0000/ffffff
49,49,http://dummyimage.com/229x238.png/ff4444/ffffff
50,50,http://dummyimage.com/176x148.png/dddddd/000000
51,51,http://dummyimage.com/113x179.png/5fa2dd/ffffff
52,52,http://dummyimage.com/139x168.png/5fa2dd/ffffff
53,53,http://dummyimage.com/172x124.png/cc0000/ffffff
54,54,http://dummyimage.com/148x182.png/dddddd/000000
55,55,http://dummyimage.com/230x218.png/dddddd/000000
56,56,http://dummyimage.com/174x102.png/5fa2dd/ffffff
57,57,http://dummyimage.com/193x223.png/5fa2dd/ffffff
58,58,http://dummyimage.com/103x197.png/ff4444/ffffff
59,59,http://dummyimage.com/160x240.png/5fa2dd/ffffff
60,60,http://dummyimage.com/189x223.png/dddddd/000000
61,61,http://dummyimage.com/215x127.png/dddddd/000000
62,62,http://dummyimage.com/205x184.png/5fa2dd/ffffff
63,63,http://dummyimage.com/200x206.png/dddddd/000000
64,64,http://dummyimage.com/133x174.png/dddddd/000000
65,65,http://dummyimage.com/134x242.png/dddddd/000000
66,66,http://dummyimage.com/173x240.png/ff4444/ffffff
67,67,http://dummyimage.com/176x174.png/5fa2dd/ffffff
68,68,http://dummyimage.com/107x142.png/ff4444/ffffff
69,69,http://dummyimage.com/140x128.png/5fa2dd/ffffff
70,70,http://dummyimage.com/102x128.png/cc0000/ffffff
71,71,http://dummyimage.com/156x151.png/ff4444/ffffff
72,72,http://dummyimage.com/130x209.png/dddddd/000000
